,num_features,scores
0,1,"[0.31666666666666665, 0.35833333333333334, 0.30833333333333335, 0.3416666666666667, 0.275]"
1,2,"[0.3416666666666667, 0.25833333333333336, 0.2583333333333333, 0.3458333333333333, 0.24583333333333332]"
2,3,"[0.35416666666666663, 0.25833333333333336, 0.23333333333333334, 0.29583333333333334, 0.3083333333333333]"
3,4,"[0.35416666666666663, 0.22916666666666666, 0.2833333333333333, 0.3458333333333333, 0.19583333333333333]"
4,5,"[0.35416666666666663, 0.2791666666666667, 0.32499999999999996, 0.2625, 0.29583333333333334]"
5,6,"[0.4916666666666666, 0.29166666666666663, 0.4375, 0.3625, 0.2833333333333333]"
6,7,"[0.4291666666666667, 0.31666666666666665, 0.3833333333333333, 0.3541666666666667, 0.2583333333333333]"
7,8,"[0.37916666666666665, 0.31666666666666665, 0.47916666666666663, 0.36666666666666664, 0.4416666666666666]"
8,9,"[0.4416666666666666, 0.31666666666666665, 0.4916666666666666, 0.47916666666666663, 0.3541666666666667]"
9,10,"[0.4416666666666666, 0.26666666666666666, 0.44999999999999996, 0.47916666666666663, 0.36666666666666664]"
10,11,"[0.4041666666666667, 0.26666666666666666, 0.48749999999999993, 0.4916666666666666, 0.425]"
11,12,"[0.37916666666666665, 0.29166666666666663, 0.5083333333333333, 0.4291666666666667, 0.4083333333333333]"
12,13,"[0.44166666666666665, 0.29166666666666663, 0.5208333333333334, 0.44166666666666665, 0.3541666666666667]"
13,14,"[0.44166666666666665, 0.32916666666666666, 0.45833333333333337, 0.44999999999999996, 0.41666666666666663]"
14,15,"[0.4291666666666667, 0.30416666666666664, 0.5, 0.4625, 0.4583333333333333]"
15,16,"[0.41666666666666663, 0.25416666666666665, 0.4291666666666667, 0.475, 0.43333333333333335]"
16,17,"[0.35416666666666663, 0.25416666666666665, 0.4291666666666667, 0.475, 0.43333333333333335]"
17,18,"[0.35416666666666663, 0.25416666666666665, 0.37916666666666665, 0.475, 0.5]"
18,19,"[0.35, 0.25416666666666665, 0.45833333333333337, 0.4666666666666666, 0.5]"
19,20,"[0.3916666666666666, 0.22916666666666666, 0.4083333333333333, 0.4416666666666666, 0.4875]"
20,21,"[0.3916666666666666, 0.24166666666666664, 0.42083333333333334, 0.4666666666666666, 0.4875]"
21,22,"[0.3916666666666666, 0.25416666666666665, 0.4083333333333333, 0.425, 0.475]"
22,23,"[0.41666666666666663, 0.25416666666666665, 0.43333333333333335, 0.425, 0.475]"
23,24,"[0.44166666666666665, 0.32916666666666666, 0.43333333333333335, 0.475, 0.475]"
24,25,"[0.4291666666666667, 0.2791666666666667, 0.48333333333333334, 0.475, 0.46249999999999997]"
25,26,"[0.4125, 0.2791666666666667, 0.5333333333333334, 0.475, 0.475]"
26,27,"[0.33749999999999997, 0.2791666666666667, 0.48333333333333334, 0.475, 0.4458333333333333]"
27,28,"[0.35, 0.32916666666666666, 0.55, 0.475, 0.43333333333333335]"
28,29,"[0.35, 0.32916666666666666, 0.5083333333333334, 0.41250000000000003, 0.5083333333333333]"
29,30,"[0.35, 0.32916666666666666, 0.55, 0.41250000000000003, 0.475]"
30,31,"[0.35, 0.2791666666666667, 0.5083333333333334, 0.41250000000000003, 0.525]"
31,32,"[0.35, 0.32916666666666666, 0.5625, 0.41250000000000003, 0.525]"
32,33,"[0.3625, 0.37916666666666665, 0.5625, 0.41250000000000003, 0.4875]"
33,34,"[0.3, 0.32916666666666666, 0.55, 0.41250000000000003, 0.4375]"
34,35,"[0.3125, 0.32916666666666666, 0.5625, 0.41250000000000003, 0.4375]"
35,36,"[0.3125, 0.36666666666666664, 0.55, 0.41250000000000003, 0.3875]"
36,37,"[0.325, 0.42916666666666664, 0.6125, 0.41250000000000003, 0.4]"
37,38,"[0.35, 0.42916666666666664, 0.6000000000000001, 0.41250000000000003, 0.5]"
38,39,"[0.3, 0.42916666666666664, 0.6125, 0.41250000000000003, 0.46249999999999997]"
39,40,"[0.2875, 0.42916666666666664, 0.6125, 0.41250000000000003, 0.46249999999999997]"
40,41,"[0.38749999999999996, 0.37916666666666665, 0.6125, 0.425, 0.46249999999999997]"
41,42,"[0.375, 0.37916666666666665, 0.6000000000000001, 0.425, 0.46249999999999997]"
42,43,"[0.325, 0.3916666666666666, 0.5708333333333334, 0.425, 0.46249999999999997]"
43,44,"[0.325, 0.44166666666666665, 0.5708333333333334, 0.425, 0.5125]"
44,45,"[0.325, 0.4666666666666666, 0.4583333333333333, 0.4666666666666666, 0.5125]"
45,46,"[0.375, 0.4666666666666666, 0.48333333333333334, 0.4666666666666666, 0.5125]"
46,47,"[0.4291666666666667, 0.45416666666666666, 0.4958333333333333, 0.43749999999999994, 0.5625]"
47,48,"[0.3916666666666666, 0.5208333333333334, 0.48333333333333334, 0.43749999999999994, 0.5625]"
48,49,"[0.3916666666666666, 0.4541666666666667, 0.5458333333333334, 0.425, 0.5625]"
49,50,"[0.3916666666666666, 0.4916666666666667, 0.5458333333333334, 0.5083333333333334, 0.5625]"
50,51,"[0.4041666666666667, 0.47916666666666663, 0.5583333333333333, 0.5208333333333334, 0.55]"
51,52,"[0.3916666666666666, 0.47916666666666663, 0.5458333333333334, 0.5208333333333334, 0.48750000000000004]"
52,53,"[0.3916666666666666, 0.47916666666666663, 0.5583333333333333, 0.4791666666666667, 0.48750000000000004]"
53,54,"[0.4041666666666667, 0.47916666666666663, 0.5708333333333334, 0.5333333333333333, 0.48750000000000004]"
54,55,"[0.37916666666666665, 0.4541666666666667, 0.5583333333333333, 0.5208333333333334, 0.48750000000000004]"
55,56,"[0.37916666666666665, 0.42500000000000004, 0.5583333333333333, 0.4791666666666667, 0.4375]"
56,57,"[0.41666666666666663, 0.4125, 0.5708333333333334, 0.4791666666666667, 0.4375]"
57,58,"[0.41250000000000003, 0.4375, 0.6000000000000001, 0.4791666666666667, 0.4375]"
58,59,"[0.41250000000000003, 0.4541666666666667, 0.5875, 0.4791666666666667, 0.4375]"
59,60,"[0.3625, 0.4625, 0.6000000000000001, 0.5291666666666667, 0.4375]"
60,61,"[0.35, 0.4125, 0.6000000000000001, 0.5416666666666667, 0.4375]"
61,62,"[0.38749999999999996, 0.4125, 0.5750000000000001, 0.5291666666666667, 0.4375]"
62,63,"[0.4375, 0.475, 0.5750000000000001, 0.5708333333333334, 0.4375]"
63,64,"[0.4375, 0.42500000000000004, 0.5750000000000001, 0.5708333333333334, 0.4375]"
64,65,"[0.475, 0.42500000000000004, 0.5750000000000001, 0.5708333333333334, 0.4375]"
65,66,"[0.475, 0.4, 0.5750000000000001, 0.5708333333333334, 0.4375]"
66,67,"[0.475, 0.4, 0.5750000000000001, 0.5833333333333334, 0.4375]"
67,68,"[0.475, 0.4125, 0.5750000000000001, 0.5708333333333334, 0.48750000000000004]"
68,69,"[0.475, 0.4125, 0.5750000000000001, 0.5708333333333334, 0.48750000000000004]"
69,70,"[0.475, 0.4625, 0.5333333333333334, 0.5708333333333334, 0.475]"
70,71,"[0.5291666666666667, 0.475, 0.5750000000000001, 0.5708333333333334, 0.475]"
71,72,"[0.5291666666666667, 0.475, 0.5333333333333334, 0.5708333333333334, 0.475]"
72,73,"[0.5291666666666667, 0.475, 0.5333333333333334, 0.5708333333333334, 0.475]"
73,74,"[0.5291666666666667, 0.5291666666666667, 0.5333333333333334, 0.5708333333333334, 0.475]"
74,75,"[0.5666666666666667, 0.4666666666666667, 0.5333333333333334, 0.5583333333333333, 0.475]"
75,76,"[0.525, 0.4375, 0.5458333333333334, 0.5583333333333333, 0.475]"
76,77,"[0.525, 0.4375, 0.5458333333333334, 0.5583333333333333, 0.4875]"
77,78,"[0.5, 0.4375, 0.5458333333333334, 0.5708333333333334, 0.475]"
78,79,"[0.475, 0.44999999999999996, 0.5458333333333334, 0.5708333333333334, 0.475]"
79,80,"[0.5666666666666667, 0.4375, 0.5875, 0.5708333333333334, 0.475]"
80,81,"[0.5166666666666666, 0.42500000000000004, 0.5458333333333334, 0.5708333333333334, 0.4875]"
81,82,"[0.5291666666666667, 0.44999999999999996, 0.5458333333333334, 0.5708333333333334, 0.425]"
82,83,"[0.5458333333333333, 0.4375, 0.5458333333333334, 0.5291666666666667, 0.475]"
83,84,"[0.5583333333333333, 0.44999999999999996, 0.5458333333333334, 0.5291666666666667, 0.4875]"
84,85,"[0.5583333333333333, 0.44999999999999996, 0.5458333333333334, 0.5291666666666667, 0.4875]"
85,86,"[0.5666666666666667, 0.44999999999999996, 0.5458333333333334, 0.5291666666666667, 0.4875]"
86,87,"[0.5666666666666667, 0.44999999999999996, 0.5875, 0.5791666666666667, 0.4875]"
87,88,"[0.5166666666666666, 0.44999999999999996, 0.5875, 0.6208333333333333, 0.4458333333333333]"
88,89,"[0.5708333333333334, 0.44999999999999996, 0.5750000000000001, 0.6208333333333333, 0.4458333333333333]"
89,90,"[0.5708333333333334, 0.44999999999999996, 0.5458333333333334, 0.5791666666666667, 0.4583333333333333]"
90,91,"[0.4666666666666666, 0.44999999999999996, 0.5458333333333334, 0.5791666666666667, 0.4583333333333333]"
91,92,"[0.4916666666666666, 0.4375, 0.6125, 0.6083333333333334, 0.5]"
92,93,"[0.5041666666666667, 0.4375, 0.6125, 0.6083333333333334, 0.48750000000000004]"
93,94,"[0.5041666666666667, 0.4125, 0.625, 0.6083333333333334, 0.48750000000000004]"
94,95,"[0.5041666666666667, 0.4, 0.6125, 0.5666666666666667, 0.48750000000000004]"
95,96,"[0.5041666666666667, 0.4125, 0.625, 0.5666666666666667, 0.48750000000000004]"
96,97,"[0.5041666666666667, 0.4, 0.6125, 0.5666666666666667, 0.5]"
97,98,"[0.5041666666666667, 0.4125, 0.6125, 0.5666666666666667, 0.5]"
98,99,"[0.4916666666666666, 0.4125, 0.6000000000000001, 0.5666666666666667, 0.5]"
